id,Trans_id,stations,color,walktime,description
67,2,",86",#F5C00E,6,"Cambridge St @ Dustin St"
68,0,",B",#018835,14,"Warren Street"
68,1,",51,57,66",#F5C00E,5,"Market St @ Keenan Rd"
68,2,",86",#F5C00E,6,"Cambridge St @ Dustin St"
69,0,",B",#018835,4,"Sutherland Road"
69,1,",C",#018835,5,"Dean Road"
70,0,",Red,Line",#e02826,14,"JFK / UMass"
70,1,",Fairmount,Franklin",#80276c,8,"Uphams Corner"
70,2,",Greenbush,Kingstone,Middleborough/Lakeville",#80276c,14,"JFK / UMass"
70,3,",Middleborough/Lakeville",#80276c,14,"JFK / UMass"
71,0,",Fairmount,Line",#B933AD,5,"Uphams Corner"
71,1,",Kingston,Line",#B933AD,15,"JFK / UMass"
71,2,",Greenbush,Line",#B933AD,15,"JFK / UMass"
71,3,",Red,line",#DA1721,15,"JFK / UMass"
71,4,",16,17,41",#F5C00E,5,"Columbia Rd @ Holden St"
72,0,",57,501",#F5C00E,5,"Tremont St @ Washington St"
72,1,",64",#F5C00E,5,"Faneuil St @ Bigelow St"
73,0,",Red,Line",#e02826,14,"JFK / UMass"
73,1,",Fairmount,Franklin",#80276c,8,"Uphams Corner"
73,2,",Greenbush,Kingstone,Middleborough/Lakeville",#80276c,14,"JFK / UMass"
73,3,",Middleborough/Lakeville",#80276c,14,"JFK / UMass"
74,0,",B",#018835,14,"Warren Street"
74,1,",51,57,66",#F5C00E,5,"Market St @ Keenan Rd"
74,2,",86",#F5C00E,6,"Cambridge St @ Dustin St"
75,0,",Red,Line",#EC211F,6,JFK/UMass
75,1,",Greenbush,Line,Kingston,Line",#8E44AD,6,JFK/UMass
75,2,",Fairmount,Line,Franklin/Foxboro,Line",#8E44AD,15,Newmarket
75,3,",8,16,41",#F5C00E,6,JFK/UMass
76,0,",B",#00843D,8,"Harvard Avenue"
76,1,",Framingham",#8E44AD,13,"Boston Landing"
77,0,",57,501",#EB841E,3,"Washington St @ Brock St"
77,1,",51,65,86",#EB841E,12,"Chestnut Hill Ave @ Veronica Smith Ctr"
78,0,",B",#018835,8,"Harvard Avenue"
78,1,",64,66,501",#F5C00E,1,"Cambridge Street"
79,0,",Greenbush/Kingston",#8E44AD,1,"JFK / UMass"
79,1,",Red,Line",#DA1721,1,"JFK / UMass"
79,2,",Middleborough/Lakeville",#8E44AD,1,"JFK / UMass"
79,3,",8,16,41",#EB841E,1,"JFK / UMass"
80,0,",B",#018835,4,"Sutherland Road"
80,1,",C",#018835,5,"Dean Road"
81,0,",Red,Line",#EC211F,8,Porter
81,1,",88,89",#F5C00E,2,"Highland Ave @ Willow Ave"
81,2,",Fitchburg,Line",#B933AD,8,Porter
81,3,",87,88,89,90,94,96",#F5C00E,10,Davis
82,0,",Red,LIne",#8E44AD,8,"JFK / UMass"
82,1,",Greenbush/Kingston",#8E44AD,8,"JFK / UMass"
82,2,",Middleborough/Lakeville",#EC211F,8,"JFK / UMass"
82,3,",8,16,41",#EB841E,8,"JFK / UMass"
82,4,",18",#EB841E,2,"Dorchster Ave @ Howes St"
83,0,",Red,Line",#DA1721,8,Andrew
83,1,",Fairmount,Franklin",#8E44AD,11,Newmarket
83,2,",Greenbush,Kingston",#8E44AD,14,"JFK / UMass"
83,3,",8,41,16",#F5C00E,14,"JFK / UMass"
83,4,",Middleborough/Lakeville",#8E44AD,14,"JFK / UMass"
84,0,",B",#018835,8,"Chiswick Road"
84,1,",51,86",#F5C00E,2,"Chestnut Hill Ave @ Wiltshire Rd"
85,0,",57,501",#F5C00E,2,"Washington St @ Oak Square Ave"
85,1,",64",#F5C00E,6,"Faneuil St @ Brooks St"
86,0,",B",#00843D,8,"Harvard Avenue"
